Database	Dataset	C-Index	L1-Ratio
WikiPathways	prad	0.5852649006622517	0.17
WikiPathways	prad	0.4918300653594771	0.11
WikiPathways	prad	0.578719723183391	0.13
WikiPathways	prad	0.551056338028169	0.17
WikiPathways	brca	0.5111657834973505	0.01
WikiPathways	brca	0.5663734115347019	0.01
WikiPathways	brca	0.6149845916795069	0.01
WikiPathways	brca	0.5709836966477376	0.07
WikiPathways	brca	0.5530091298677101	0.01
WikiPathways	brca	0.594702743902439	0.11
WikiPathways	brca	0.5696867379478522	0.07
WikiPathways	brca	0.5380776340110905	0.11
WikiPathways	brca	0.5197835013064577	0.19
WikiPathways	brca	0.541313949208686	0.01
WikiPathways	lihc	0.5033407572383074	0.94
WikiPathways	lihc	0.5313351498637602	0.07
WikiPathways	lihc	0.47835497835497837	0.59
WikiPathways	lihc	0.5026455026455027	0.07
WikiPathways	lihc	0.4943181818181818	0.98
WikiPathways	lihc	0.38421052631578945	0.01
WikiPathways	lihc	0.5463182897862233	0.07
WikiPathways	lihc	0.46218487394957986	0.92
WikiPathways	lihc	0.5236486486486487	0.94
WikiPathways	lihc	0.458252427184466	0.11
WikiPathways	kirc	0.697754749568221	0.07
WikiPathways	kirc	0.5631929046563193	0.13
WikiPathways	kirc	0.6423766816143498	0.11
WikiPathways	kirc	0.6438709677419355	0.07
WikiPathways	kirc	0.46034816247582205	0.11
WikiPathways	kirc	0.6312576312576312	0.07
WikiPathways	kirc	0.6347634763476347	0.07
WikiPathways	kirc	0.5909568874868559	0.07
WikiPathways	kirc	0.6013513513513513	0.07
WikiPathways	kirc	0.6278538812785388	0.07
WikiPathways	ov	0.6863468634686347	0.01
WikiPathways	ov	0.581081081081081	0.01
WikiPathways	ov	0.43508771929824563	0.01
WikiPathways	ov	0.6237623762376238	0.01
WikiPathways	ov	0.4006734006734007	0.01
WikiPathways	ov	0.5290322580645161	0.01
WikiPathways	ov	0.6075085324232082	0.01
WikiPathways	ov	0.5015290519877675	0.01
WikiPathways	ov	0.42702702702702705	0.01
WikiPathways	ov	0.4	0.01
KEGG	prad	0.6258169934640523	0.17
KEGG	prad	0.6111111111111112	0.17
KEGG	prad	0.5441302485004285	0.23
KEGG	prad	0.5163398692810458	0.23
KEGG	prad	0.5604575163398693	0.19
KEGG	prad	0.5915032679738562	0.17
KEGG	prad	0.6578723404255319	0.31
KEGG	prad	0.7065767284991569	0.11
KEGG	prad	0.5076530612244898	0.41
KEGG	prad	0.639751552795031	0.13
KEGG	brca	0.5368115942028986	0.19
KEGG	brca	0.5319575235423762	0.19
KEGG	brca	0.6060498850168052	0.29
KEGG	brca	0.6181206866041409	0.23
KEGG	brca	0.552300469483568	0.17
KEGG	brca	0.5823439295289161	0.19
KEGG	brca	0.6104862119013063	0.29
KEGG	brca	0.5225657768388707	0.29
KEGG	brca	0.6168428727670434	0.17
KEGG	brca	0.5347263681592039	0.17
KEGG	lihc	0.7410256410256411	0.07
KEGG	lihc	0.46475195822454307	0.13
