,dataset,database,enriched_pathways
0,BRCA,KEGG,211
1,BRCA,Merged,972
2,BRCA,Reactome,670
3,BRCA,WikiPathways,131
4,KIRC,KEGG,18
5,KIRC,Merged,57
6,KIRC,Reactome,56
7,KIRC,WikiPathways,3
8,LIHC,KEGG,270
9,LIHC,Merged,1430
10,LIHC,Reactome,963
11,LIHC,WikiPathways,273
12,PRAD,KEGG,216
13,PRAD,Merged,913
14,PRAD,Reactome,548
15,PRAD,WikiPathways,171
